AuthorID,Author,Date,Content,Attachments,Reactions
"736301671772061828","0_____________________________.0","2024-11-12T23:13:49.7560000+01:00","No way, you're cheating","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:14:04.7700000+01:00","Ugh basically anybody can pretend to be a woman these days","","😭 (1)"
"736301671772061828","0_____________________________.0","2024-11-12T23:14:11.6030000+01:00","questions. if - if i kiss you and my moving my hands to your your pans, did you stop that or did u helps me?","",""
"755454471366115328","idunno_225","2024-11-12T23:14:15.6920000+01:00","IQ 180 ig🙄","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:14:20.4170000+01:00","Lol","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:14:42.8180000+01:00","180 iq is so hot ngl","",""
"755454471366115328","idunno_225","2024-11-12T23:14:46.3780000+01:00","That's a hard one lemme think","",""
"755454471366115328","idunno_225","2024-11-12T23:15:17.0910000+01:00","I will stop you ofc","",""
"755454471366115328","idunno_225","2024-11-12T23:15:22.3590000+01:00","☺️☺️","",""
"755454471366115328","idunno_225","2024-11-12T23:15:44.5840000+01:00","Thanks girly💝💝💝","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:15:46.3550000+01:00","What?? What do you need to atop me form? Being hard? You're definitely. Man-£+#!#?#?","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:16:10.7190000+01:00","Sorry i had a little stroke there","",""
"755454471366115328","idunno_225","2024-11-12T23:16:17.6930000+01:00","Ugh you got me I have a boner rn","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:16:25.1630000+01:00","What?????","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:16:30.9960000+01:00","How could you 😭😭😭","",""
"755454471366115328","idunno_225","2024-11-12T23:16:34.5410000+01:00","Wanna see?","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:16:35.4650000+01:00","You tricked me","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:16:39.9210000+01:00","Yes yes","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:16:43.2060000+01:00","I mean","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:16:45.3500000+01:00","Ewww","","🥺 (1)"
"755454471366115328","idunno_225","2024-11-12T23:16:58.0700000+01:00","Sorry kitten do you still want robux from daddy?","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:17:20.3120000+01:00","So what do you want to study ;3","",""
"755454471366115328","idunno_225","2024-11-12T23:17:34.4290000+01:00","Anatomy ofc","",""
"755454471366115328","idunno_225","2024-11-12T23:17:36.6490000+01:00","Oh","",""
"755454471366115328","idunno_225","2024-11-12T23:17:43.8890000+01:00","Hmmm","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:18:01.4740000+01:00","Being an androgynous bitch yourself i think you'd have an edge over anyone else in thjs area","",""
"755454471366115328","idunno_225","2024-11-12T23:18:11.8280000+01:00","HELP","",""
"755454471366115328","idunno_225","2024-11-12T23:18:32.0010000+01:00","Ugh 😩","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:18:44.4150000+01:00","Right, you can't slice open yourself with a knife","",""
"755454471366115328","idunno_225","2024-11-12T23:18:55.4890000+01:00","I did already","",""
"755454471366115328","idunno_225","2024-11-12T23:18:58.4640000+01:00","😥","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:19:07.5160000+01:00","First of all","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:19:09.8380000+01:00","Are you okay","",""
"755454471366115328","idunno_225","2024-11-12T23:19:09.9140000+01:00","I have proof","",""
"755454471366115328","idunno_225","2024-11-12T23:19:21.8200000+01:00","Mentally or physically","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:19:25.7790000+01:00","Both","",""
"755454471366115328","idunno_225","2024-11-12T23:19:53.1330000+01:00","🫷😔 don't even","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:20:01.0490000+01:00","Gimnazija amirite","","🥺 (1)"
"755454471366115328","idunno_225","2024-11-12T23:20:22.5610000+01:00","I'm perfect ☺️☺️☺️☺️☺️☺️☺️☺️☺️","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:20:29.9020000+01:00","Oooh i imagne","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:20:37.8710000+01:00","Perfect 180 iq sigma","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:20:45.6990000+01:00","Couldn't possible have any mental","",""
"755454471366115328","idunno_225","2024-11-12T23:21:20.5940000+01:00","Actually ☝️🤓 smart people are mentally ill","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:21:30.6900000+01:00","Fuck","",""
"755454471366115328","idunno_225","2024-11-12T23:21:36.1160000+01:00","Wait what do you study🤨","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:21:43.5410000+01:00","I wanna study chemistry ;3","",""
"755454471366115328","idunno_225","2024-11-12T23:21:43.6720000+01:00","Yes","",""
"755454471366115328","idunno_225","2024-11-12T23:21:50.5000000+01:00","Give up","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:21:54.7160000+01:00","Such a cool subject","",""
"755454471366115328","idunno_225","2024-11-12T23:21:55.4310000+01:00","I have chemistry","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:22:00.1670000+01:00","I wanna be a scientist","",""
"755454471366115328","idunno_225","2024-11-12T23:22:16.0740000+01:00","No kidding I poglabljam chemistry","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:22:24.8380000+01:00","Whoa","",""
"755454471366115328","idunno_225","2024-11-12T23:22:30.5860000+01:00","Oh wow so ambitious 🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺","",""
"755454471366115328","idunno_225","2024-11-12T23:22:56.4350000+01:00","Don't ever give up pookie your future is bright","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:22:58.0810000+01:00",":( dont make fun of me :(","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:23:02.3700000+01:00","Okay pookie","",""
"755454471366115328","idunno_225","2024-11-12T23:23:07.8270000+01:00","🙈😞💔💔💔💔","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:23:08.3720000+01:00","Ill fight for my place!!!!","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:23:25.0490000+01:00","I got accepted though, but decided to stay the year","",""
"755454471366115328","idunno_225","2024-11-12T23:23:48.7580000+01:00","Don't forget about me when you succeed and make meth for me","",""
"755454471366115328","idunno_225","2024-11-12T23:23:57.7240000+01:00","Ohhhhhh","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:24:04.2310000+01:00","Meth in a lab is quite a arduous task","",""
"755454471366115328","idunno_225","2024-11-12T23:24:08.1560000+01:00","Gap year for OSU?","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:24:23.7780000+01:00","For hating my work to motivate myself for study","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:24:33.7410000+01:00","Job*","",""
"755454471366115328","idunno_225","2024-11-12T23:24:35.4540000+01:00","Stop with those big words please","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:24:42.2510000+01:00","I'm sorry","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:25:12.8500000+01:00","For having a mental capacity to be able to comprehend eloquent dictionary from the english elxicon","",""
"755454471366115328","idunno_225","2024-11-12T23:25:26.4270000+01:00","Yessss you got this🥰🥰","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:25:34.0020000+01:00","Thanks a lot","",""
"755454471366115328","idunno_225","2024-11-12T23:25:42.1600000+01:00","Wow😃😃😃😃😃😃","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:25:42.1880000+01:00","I'll think of you when i get accepted :3","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:26:06.7900000+01:00","I imagine ur the type of person who reads a lot of smut","",""
"755454471366115328","idunno_225","2024-11-12T23:26:14.6880000+01:00","You said alr were....LIAR","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:26:28.6020000+01:00","Accepted again","",""
"755454471366115328","idunno_225","2024-11-12T23:26:32.4540000+01:00","Oh-😦😦😦😦😦😦","",""
"755454471366115328","idunno_225","2024-11-12T23:26:52.8830000+01:00","I am fight me😤😤😤","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:26:59.1450000+01:00","Oh damn","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:27:09.9750000+01:00","Never thought I'd meet patrick jane in me","",""
"755454471366115328","idunno_225","2024-11-12T23:27:27.0130000+01:00","Girl😭","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:27:38.1540000+01:00","Yes i love that show","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:27:47.5530000+01:00","Yes im obsessed with human psychology","",""
"755454471366115328","idunno_225","2024-11-12T23:28:57.3790000+01:00","Ugh you that dark psychology machiavellian rizz","",""
"755454471366115328","idunno_225","2024-11-12T23:29:11.0460000+01:00","Got stroke typing that btw","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:29:13.5590000+01:00","I try to be the rizzler baby gronk","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:29:18.1270000+01:00","Yes me too","",""
"755454471366115328","idunno_225","2024-11-12T23:29:38.7390000+01:00","It's working🤤","",""
"755454471366115328","idunno_225","2024-11-12T23:29:50.1120000+01:00","Okey ugh my bad","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:29:55.0280000+01:00","Yes, im getting wetter","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:30:00.0180000+01:00","Oh wait no","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:30:02.0510000+01:00","Too fast?","",""
"755454471366115328","idunno_225","2024-11-12T23:30:03.5400000+01:00","🥰","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:30:15.5640000+01:00","Feels like a smut episode","",""
"755454471366115328","idunno_225","2024-11-12T23:30:20.9280000+01:00","My foreplay plan worked","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:30:27.2120000+01:00","Granted i dont read any smut","",""
